Roles,IsActive,StartDate,EndDate,Position__c,Rol__c,Errors
,true,,,Asesor Luis Lacalle Pou,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,Directora Ejecutiva,Director / VP,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Advisor,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Director / VP,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Advisor,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,CEO / C-Suite,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Administrative staff,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Consultant,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Consultant,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Administrative staff,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Advisor,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Advisor,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Country Vice President,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Administrative staff,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,Investor,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,Investor,Investor,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Consultant,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Consultant,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
,true,,,,Consultant,"REQUIRED_FIELD_MISSING:Required fields are missing: [AccountId, ContactId]:AccountId ContactId --"
