Client__c,Operation__c,RelationshipKey__c,Type__c,Errors
0012200000VBjKuAAL,a0X2200000153YQEAY,BR-G1006|BR-IABS|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5is:--
0012200000VBjKuAAL,a0X2200000153YGEAY,BR-T1342|BR-IABS|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5it:--
0012200000VBjKuAAL,a0X2200000153YBEAY,BR-M1074|BR-IABS|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5iu:--
0012200000VBjL0AAL,a0X2200000153WeEAI,CH0009|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5iv:--
0012200000VBjL0AAL,a0X2200000153XHEAY,CH0002|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5iw:--
0012200000VBjKuAAL,a0X2200000153WLEAY,BR-T1409|BR-IABS|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ix:--
0012200000VBjKuAAL,a0X2200000153Z7EAI,BR-T1462|BR-IABS|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5iy:--
0012200000VBjL0AAL,a0X2200000153WkEAI,CH0020|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5iz:--
,a0X2200000153WXEAY,RG-T1269|BR-SEBRAE|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5j0:--
,a0X2200000153WbEAI,BR-T1483|BR-SEBRAE|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5j1:--
,a0X2200000153Y7EAI,BR-M1039|BR-SEBRAE|Executing Agency,Executing Agency,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5j2:--
