Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
Project grow,0012200000VBkFjAAL,false,Endorsement of proposed IDB Labs project regarding accelerating the inclusion of small scale farmers and youth into the commercial cassava value chain,Referred Externally,814000,,2019-04-01,Technical Cooperation,,,Omitted,,,,,JM,Administrator,,false,,,false,false,false,Agriculture and Rural Development;,false,,Medium,false,,,,,false,,,,false,,IDB LAB,External Meeting,,,,,,,false,0012200000VBk5HAAT,,false,Agriculture and Rural Development,,,Agricultural Research and Innovation,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Institutional Capacity in Entrepreneurship,0012200000VBkFjAAL,false,"The project is seeking to develop for micro, small and medium enterprises, a series of entrepreneurial support services which draw from regional best practices and which have potential to be effective and adaptable",In Progress,,,2021-10-24,Technical Cooperation,,,Pipeline,,,,,BS;BB;JM,Administrator,,false,,,false,false,false,Private Firms and SME Development;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,RG-T2626,,,,,,false,,,false,Private Firms and SME Development,,,Small and Medium Enterprise,false,,,,,,,false,,,BS;BB;JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
TC to reduce adolescent pregnancy in Jamaica,0012200000VBkFjAAL,false,Project to reduce teenage pregnancy in Jamaica. The Bank and the PIOJ began talks in 2016 to develop a project to help Jamaica reduce teenage pregnancy Island wide,In Progress,700000,,2020-08-29,Technical Cooperation,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Health;,false,,Low,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Health,,,Disease Prevention & Control,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
OS-TC to the Energy Efficiency and Conservation Programme  (EECP),0012200000VBkFjAAL,false,The OS-TC operational support TC will seek to equip the PCJ with the required tools and information to implement the EECP,In Progress,400000,,2021-10-28,Technical Cooperation,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,GRT/ER-16412,,,,,,false,0012200000VBkBfAAL,,false,Energy,,,Energy Efficiency and Renewable Energy In End Use,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Regional Water and Sewerage Conference,0012200000VBkFjAAL,false,The conference provided a forum for an exchange on priority issues facing the water and sewerage sector in the region,Closed Won,,,2016-11-16,Events,,,Closed,,,,,JM,Administrator,,false,,,false,false,false,Water and Sanitation;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,0012200000VBkBVAA1,,false,Water and Sanitation,,,Integral Management of Water Resources,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Policy Based Loan for Agriculture,0012200000VBkBUAA1,false,"The MICAF has identified several policies which need strengthening or development which they expect the new Ageicultural Loan to address. But based on the scope, maybe a PBL or PBP could be developed for the Sector. 

The GOJ is always discussing development of Agro Economic Zones to enhance food security. The thought is that the Afro Parks is a part of the zones and PPP would enhance this structure. But without Policy, this construct may be affected.",In Progress,,,2020-07-02,Collaboration,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Agriculture and Rural Development;,false,,,false,,,,,false,,,,false,,Shared,,,,,,,,false,0012200000VBkBUAA1,,false,Agriculture and Rural Development,,IDB;IDB Lab,Agribusiness,false,,,,,,,false,,GOJ is not willing to increase the current loan amount to include work on Agro-zones,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Support to DIA Urban Lab,0012200000VBk3pAAD,false,IDB Lab has the opportunity to partner with Portland Private Equity to support the DIA Urban Lab.  The Lab provides support to entrepreneurs and take them through a series of booth camps.  They are also targeting at risk youths and incarcerated individuals towards reform and owning their own business.,Initiation,,,2019-12-31,,,,Pipeline,,,,,,Administrator,,false,,,false,false,false,,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,,,,,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Vocational Training for Creative Industries,,false,"My company, Change Makers Ltd, specialises in working with Private Sector to design programmes focused on creating long-term development impact.  As such, we have recently designed and are engaging in a programme to train youth (17+) in the entertainment industry.  The client is a leading Event Management and Production company.
 
The focus of the programme is tied to students getting a job, both through the practicums and job readiness training components.  This is a growing area of industry in Jamaica and across the region.  We are seeking to take the programme to other islands in the Caribbean and believe there may be some alignment with IADBs focus.
 
We would like an opportunity to come speak with you more about the programme and possible alignments with IADB.  Looking forward to hearing back from you.",Initiation,,,2019-12-31,,,,Pipeline,,,,,,Administrator,,false,,,false,false,false,,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,,,,,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Improving efficiency of Fine & Flavour Cocoa production in Jamaica,0012200000VBkRmAAL,false,Creating a project to use precision agriculture and GIS technology to fight the frosty pod disease experienced by cocoa farmers,Initiation,,,2019-12-31,,,,Pipeline,,,,,,Administrator,,false,,,false,false,false,,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,,,,,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Reestructuracion del BEDE,0012200000VBkRQAA1,false,,In Progress,,,2019-04-30,Operations,,,Pipeline,,,,,EC,Administrator,,false,,,false,false,false,Urban Development and Housing;,false,,,false,,,,,false,,,,false,,,External Meeting,,,,,,,false,,,false,Urban Development and Housing,,,,false,,,,,,,false,,,EC,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
