Id,Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
00622000005F7B4AAK,TEST damg,0012200000VBntbAAD,false,,5Q - Pitch,66000,3,2021-05-31,,,,Pipeline,,01s1I000001cj2KQAQ,,,,,,false,,,false,false,false,Education;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Education,,,,false,,,,,,,false,,,,Urban/periurban,,,,true,false,,,,,Argentina,,,false,,,,,,,,,,,,
00622000005F7AzAAK,Intercambio de experiencias con INTRANT RD,0012200000VBnt6AAD,false,Visita INTRANT,Initiation,10000,,2021-12-31,Collaboration,,,Pipeline,,,,,DO;HN,Administrator,Transport Division,false,,Responsible,false,false,false,Transport;,false,,Medium,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Transport,,,"Logistic Planning, Multimodal Transport and Logistic Platforms",false,,,,,,,false,,,DO;HN,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B0AAK,Presentación de Miguel Porrua en coloquio sobre Transformación Digital,0012200000VBntQAAT,false,"Transformación Pública invita a Miguel Porrua para ser el expositor principal en la inauguración de coloquios 2021 en modalidad Webinar de esa organización, sin fines de lucro y cuya misión es la difusión de conocimiento en el ámbito de modernización y transformación del Sector Público chileno.",In Progress,,,2021-04-09,Events,,,Pipeline,,,,,CL,Administrator,Innovation in Citizen Services Division,false,,Responsible,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,,External Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,E-Government,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B1AAK,Originación de nuevo préstamo,0012200000VBntSAAT,false,Oportunidad para generar un nuevo préstamo para la escalabilidad y sostenibilidad del Programa Nacional de Transformación Educativa Digital (PNTED).,In Progress,,,2021-12-31,Loans,,,Pipeline,,,,,HN,Administrator,Education Division,false,,Responsible,false,false,false,Education;,false,,High,false,,,,,false,,,,false,,,Existing Operation,,,,,,,false,,,false,Education,,,E-Education,false,,,,,,,false,,,HN,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B2AAK,Nueva Operación de Préstamo Educación Digital,0012200000VBntSAAT,false,"A raíz del COVID-19 y para mitigar los impactos del mismo en el sector educativo, el Gobierno de Honduras creó el Programa Nacional de Transformación Educativa Digital (PNTED) mediante Decreto Ejecutivo. Se están utilizando recursos del préstamo en cartera HO-L1188 para implementar un piloto del PNTED en 20 centros educativos con la idea de desarrollar un modelo para la educación digital en Honduras. Como resultado de este esfuerzo, existe la oportunidad de generar un nuevo préstamo para escalar estos esfuerzos y proveer sostenibilidad.",In Progress,,,2021-12-31,Loans,,,Pipeline,,,,,HN,Administrator,Education Division,false,,Responsible,false,false,false,Education;,false,,,false,,,,,false,,,,false,,IDB,Existing Opportunity,,,,,,,false,,,false,Education,,,E-Education,false,,,,,,,false,,,HN,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B3AAK,Comida para todos,,false,,Closed Lost,,,2021-08-31,,,,Omitted,,,,,,,,false,,,false,false,false,Education;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Education,,,,false,,,,,,,false,,,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B5AAK,"Programa de Vigilancia, Gobernanza y F. Inst. del Subsectoe de A&S",0012200000VBntvAAD,false,Incrementar el acceso a servicios seguros de A&S en los sectores rurales y comarcas indigenas,In Progress,60000000,,2021-12-29,Loans,,,Pipeline,,,,,PA,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Water and Sanitation,,,,false,,,,,,,false,,,PA,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B6AAK,"Programa de Vigilancia, Gobernanza y Fortalecimiento Institucional del Subsector de A&S",0012200000VBntvAAD,false,Incrementar el acceso a servicios seguros de A&S a los sectores rurales y comarcas indígenas.,In Progress,60000000,,2021-12-29,Loans,,,Pipeline,,,,,PA,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Water and Sanitation;,false,,High,false,,,,,false,,,,false,,IDB,Existing Opportunity,,,,,,,false,0012200000VBntvAAD,,false,Water and Sanitation,,,Water Supply Rural and Peri-Urban,false,,,,,,,false,,,PA,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7B7AAK,Peru and Ecuador: Elections and Democracy in the Andes,0012200000VBnx4AAD,false,Please join the Latin American Program and IDEA Internacional  to discuss the latest electoral results in Ecuador and Peru and what they may signal about democratic governance in the region more broadly,In Progress,,,2021-04-19,Events,,,Pipeline,,,,,CL;EC;PE,Administrator,Vice Presidency for Sectors and Knowledge,false,,Responsible,false,false,false,Regional Integration;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Regional Integration,,,,false,,,,,,,false,,,CL;EC;PE,,,,,false,false,,,,,,,,false,,,,,,,,,,,,
00622000005F7AyAAK,Oportunidad Ejemplo 782021,0012200000VBnpAAAT,false,,Ideate,,,2021-08-07,,,,Pipeline,,,,,,,,false,,,false,false,false,Education;,false,,,false,,,,,false,,,Agriculture and natural capital,false,,,,,,,,,,false,,,false,Education,,,,false,,,,,,,false,,,,Afro descendant,,,,true,true,,,,,Argentina,,,false,,,,,MIF,Standard,1022,,,,,
