PSR_Milestone_ID__c,Name,PSR_Description__c,PSR_Due_Day__c,PSR_Means_of_verification__c,PSR_Milestone_Code__c,PSR_Responsible__c,PSR_Type__c,PSR_Value__c,Due_Day_Help_On_New__c,Errors
AR-G1004ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-L1297ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML2,Incorporación Njambre Holding.,Incorporación Njambre Holding.,183,Constancia de la incorporación holding.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML3,Primera versión de la plataforma en curso.,Primera versión de la plataforma en curso.,365,Constancia de que la primera versión de la plataforma está funcionando.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML4,"Inversiones en Njambre/sus emprendimientos por USD 200,000","Inversiones en Njambre/sus emprendimientos por USD 200,000",731,Documentación de respaldo de las inversions realizadas.,,Project Coordinator,Active,200000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML5,Al menos 2 empresas logran comenzar operaciones en otro país.,Al menos 2 empresas logran comenzar operaciones en otro país.,731,Constancia de las que las empresas están operando en otro país.,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML6,Planes de fortalecimiento estratégico de las empresas formulados e implementado,Planes de fortalecimiento estratégico de las empresas formulados e implementado,913,Planes de fortalecimiento estrátegico.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1071ML7,Sistematización de la metodología Njambre,Sistematización de la metodología Njambre,1096,Informe de sistematización.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
AR-M1072ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
