PSR_Sub_Operation_ID__c,Name,PSR_Approval_Date__c,PSR_Available_Amount__c,PSR_Cancel_Amount__c,PSR_Applicable__c,PSR_Country_Group__c,PSR_Current_Approved_Amount__c,PSR_Current_Execution_End_Date__c,PSR_Current_Last_Disbursement_Date__c,PSR_Disbursed_Amount__c,PSR_Executing_Agency_Text__c,PSR_Executing_Agency__c,PSR_Financing_Type__c,PSR_First_Disbursement_Date__c,PSR_First_Elegibility_Date__c,PSR_Fund_Currency__c,PSR_Fund__c,PSR_Increased_Amount__c,PSR_Operation__c,PSR_Original_Approved_Amount__c,PSR_Original_Execution_End_Date__c,PSR_Original_Last_Disbursement_Date__c,PSR_Region__c,PSR_Signature_Date__c,PSR_Status__c,PSR_Sub_Operation_ID2__c,PSR_Subtype__c,PSR_Has_One_Achieved_Milestone_Per_Sem__c,PSR_Totally_Disbursed_Date__c,PSR_Type__c,Percentage_Disbursed__c,PSR_Exceptional_Applicability__c,PSR_Country_Admin__c,PSR_Country_Beneficiary__c,PSR_Total_Elegibility_Date__c,PSR_Executing_Agency_Acronym__c,Fund__c,ORP_BeneficiaryCountry__c,ORP_ClosedDate__c,ORP_CommittedAmount__c,ORP_CountryGroup__c,ORP_CurrentExecutingDivision__c,ORP_EffectiveDate__c,ORP_ExecutionStatus__c,ORP_Instrument__c,ORP_MostRecentDisbursement__c,ORP_OrgUnit__c,ORP_ParticipantCountries__c,ORP_ProjectObjective__c,ORP_TypeofSupport__c,PSR_ActiveMilestones__c,PSR_Category86__c,PSR_ComplyRulesForDisbursement__c,PSR_CumulativeAmountLocalContribution__c,PSR_DeadlineForSignatureOLD__c,PSR_DeadlineForSignature__c,PSR_Disbursement_Consecutive_Number__c,PSR_EmailNotificationsEvaluated__c,PSR_LifecycleMilestones__c,PSR_MilestonePriorCondition__c,PSR_NeedsStatementOfExpenses__c,PSR_NextMilestoneAboutToDue__c,PSR_OverDueMilestones__c,PSR_PendingJustificationDate__c,PSR_PercentageofJustification__c,PSR_PerformanceAlerts__c,PSR_PosponedPriorConditions__c,PSR_PosponedSignature__c,PSR_LastDisbursementTransaction__c,PSR_LatestPSR__c,PSR_OverdueClause__c,PSR_Threshold__c,PSR_GeneratePSR__c,Errors
3726/OC-EC,3726/OC-EC,2016-09-01,0,486063.28,false,D,159513936.72,,2019-10-31,159513936.72,MINISTERIO DE ECONOMIA Y FINANZAS,,FFF,2020-12-11,2016-11-14,USD,ORC,0,a0X2200000156vrEAA,160000000,,2019-10-31,CAN,2016-10-31,FD,3726/OC-EC,INL,true,2020-12-16,LON,1,,ECUADOR,Ecuador,2016-11-14,EC-MEF,,EC,,,D,SCL,2016-10-31,Fully Disbursed,Loan,2019-11-04,SCL/EDU,,"The objective of the operation is to help consolidate the gains made by the country in educational
quality and coverage. Specifically, this operation will help finance key interventions to guarantee access to quality education in the
country",N/A,Yes,,Yes,,2016-10-31,2016-11-30,,false,Yes,,false,,No,,,0,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-15797-ME,ATN/OC-15797-ME,2016-10-17,0,969.5,true,A,465030.5,,2019-10-17,465030.5,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2017-05-23,2016-12-22,USD,ORC,0,a0X2200000157FzEAI,0,,2018-04-17,CID,2016-10-17,CF,ATN/OC-15797-ME,SCI,true,2019-10-31,TCP,1,,MEXICO,Mexico,2016-12-22,US-IDB,,ME,2019-10-31,,A,INE,2016-10-17,Closed,Technical Cooperation,2019-10-18,INE/ENE,,"The overall objective of the Technical Cooperation (TC) is to support the strengthening of the regulatory framework and institutional capacity energy sector, so that the Energy Reform in Mexico will implement and operate efficient and sustainable way, integrating Renewable Energy (ER) on the electric power grid and mainly providing clean energy to isolated communities.

The specific objectives of CT include, for the electricity subsector, support to complement the regulatory and operational aspects of the electricity market and its planning, the promotion of actions to increase Energy Efficiency (EE) and the use of ER and achieve universal access to electricity use by ER, marginalized communities, which will contribute to achieving the goals and targets on mitigation of climate change, established by the Government of Mexico, in the General Law on climate change, and Strategy (vision 10-20-40) and Programme (2014-2018) on Climate Change, and the expected contribution and national level Determined Mexico (INDC).",Client Support,,,,,,2017-01-15,,false,,,false,,,,,,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-15798-ME,ATN/OC-15798-ME,2016-10-17,0,2126.76,true,A,531873.24,,2019-10-17,531873.24,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2017-03-01,2017-01-10,USD,ORC,0,a0X2200000157FzEAI,0,,2018-04-17,CID,2016-10-17,CF,ATN/OC-15798-ME,IPF,true,2019-11-06,TCP,1,,MEXICO,Mexico,2017-01-10,US-IDB,,ME,2019-11-06,,A,INE,2016-10-17,Closed,Technical Cooperation,2019-10-17,INE/ENE,,"The overall objective of the Technical Cooperation (TC) is to support the strengthening of the regulatory framework and institutional capacity energy sector, so that the Energy Reform in Mexico will implement and operate efficient and sustainable way, integrating Renewable Energy (ER) on the electric power grid and mainly providing clean energy to isolated communities.

The specific objectives of CT include, for the electricity subsector, support to complement the regulatory and operational aspects of the electricity market and its planning, the promotion of actions to increase Energy Efficiency (EE) and the use of ER and achieve universal access to electricity use by ER, marginalized communities, which will contribute to achieving the goals and targets on mitigation of climate change, established by the Government of Mexico, in the General Law on climate change, and Strategy (vision 10-20-40) and Programme (2014-2018) on Climate Change, and the expected contribution and national level Determined Mexico (INDC).",Client Support,,,,,,2017-01-15,,false,,,false,,,,,,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-15977-NI,ATN/OC-15977-NI,2016-12-08,0,2337.03,true,D,197662.97,,2020-12-08,197662.97,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2017-03-09,2017-01-30,USD,ORC,0,a0X2200000157GBEAY,0,,2019-03-08,CID,2016-12-08,CO,ATN/OC-15977-NI,SOF,true,2021-01-08,TCP,1,,NICARAGUA,Nicaragua,2017-01-30,US-IDB,,NI,2021-01-08,,D,SCL,2016-12-08,Closed,Technical Cooperation,2020-12-01,SCL/SPH,,"Build the capacity of the Ministry of Health of Nicaragua to enter into long term contracts that integrate final design with construction and maintenance for hospital infrastructure. In a complementary way, strengthen the Ministry of Health&#39;s capacity to execute the pre-investment as well as supervision stages of public investment projects in general.",Operational Support,Yes,,Yes,,2016-12-08,2017-03-08,,false,Yes,,false,,No,,,0,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
3837/OC-PR,3837/OC-PR,2016-12-05,75566377.18,0,false,D,90000000,,2025-11-30,14433622.82,MINISTERIO DE OBRAS PUBLICAS Y COMUNICACIONES,,FFF,2019-12-03,2019-05-31,USD,ORC,0,a0X2200000156n4EAA,90000000,,2025-11-30,CSC,2017-07-18,DI,3837/OC-PR,INL,false,,LON,0.16,,PARAGUAY,Paraguay,2019-05-31,PR-MOPC,,PR,,,D,INE,2018-11-30,Disbursing,Loan,2020-12-17,INE/TSP,,"The general objective of the operation is to help improve agricultural productive sector competitiveness and Paraguay&#39;s economic integration, particularly in the Eastern Region. The program&#39;s specific objective is to help improve road serviceability, level of service, and road safety on the targeted segments through improvement and maintenance, resulting in lower transportation operating costs, shorter average travel times, and reduced accident rates",N/A,Yes,,Yes,,2017-07-18,2017-03-05,,false,Yes,,false,,No,,,0,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-16342-PN,ATN/OC-16342-PN,2017-09-15,36369.96,0,true,C,380000,,2022-03-15,264118.34,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2018-06-28,2017-11-27,USD,ORC,0,a0X2200000157FmEAI,0,,2020-03-15,CID,2017-09-15,DI,ATN/OC-16342-PN,SOC,false,,TCP,0.7,,PANAMA,Panama,2017-11-27,US-IDB,,PN,,,C,SCL,2017-09-15,Disbursing,Technical Cooperation,2021-03-18,SCL/GDI,,"The objective of this TC is to strengthen the technical design and institutional capacities of the comprehensive care model and autonomy for Panamanian women of the Centers of the National Institute of Women (CINAMU).

The specific objectives are: (i) develop the technical design of the CINAMU services, with emphasis on the economic empowerment model; and (ii) strengthen the coordination and technical capabilities of the CINAMU to improve their operation.",Client Support,Yes,,Yes,,2017-09-15,2017-12-14,,false,Yes,,false,,No,,,0,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/AG-16283-PR,ATN/AG-16283-PR,2017-08-14,0,2550.5,true,D,297449.5,,2019-08-14,297449.5,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2017-09-06,2017-08-31,USD,MAG,0,a0X2200000157G0EAI,0,,2018-08-14,CSC,2017-08-14,CF,ATN/AG-16283-PR,CTF,true,2019-10-31,TCP,1,,PARAGUAY,Paraguay,2017-08-31,US-IDB,,PR,2019-10-31,,D,CSD,2017-08-14,Closed,Technical Cooperation,2019-08-16,CSD/RND,,"The purpose of this Technical Cooperation (TC) is to support the Government of Paraguay in the development of technical, operational and institutional studies for the design, preparation, approval and start of the Animal Health and Productive Diversification Program (PR-L1148).",Operational Support,,,,,,2017-11-12,,false,,,false,,,,,,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-15985-CO,ATN/OC-15985-CO,2016-12-09,0,65.67,true,B,569934.33,,2021-03-06,569934.33,FUNDACIÓN ESCUELA NUEVA VOLVAMOS A LA GENTE,0012200000VBmHYAA1,TCN,2018-04-30,2017-06-29,USD,ORC,0,a0X2200000156eWEAQ,0,,2020-07-06,CAN,2017-04-06,FD,ATN/OC-15985-CO,SOF,true,2020-10-15,TCP,1,,COLOMBIA,Colombia,2017-06-29,CO-FENVG,,CO,,,B,SCL,2017-04-06,Fully Disbursed,Technical Cooperation,2021-02-12,SCL/EDU,,The program aims to improve educational quality in Colombia&#39;s rural areas through three interventions: (i) improving initial and in-service training for rural teachers; (ii) updating and developing curriculum and instruction materials for multigrade schools; and (iii) strengthening a community of practice to connect teachers.,Client Support,Yes,,Yes,,2017-04-06,2017-06-09,,false,Yes,,false,,No,,,0,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/ME-15538-ME,ATN/ME-15538-ME,2016-04-12,0,61437.77,false,A,88562.23,2018-02-11,2018-02-11,88562.23,"FUNDACIÓN DEL EMPRESARIADO EN MÉXICO, A.C.",,TCN,2016-11-17,2016-11-03,USD,MSE,0,a0X22000001552uEAA,0,2018-02-11,2018-02-11,CID,2016-08-11,CF,ATN/ME-15538-ME,DEL,true,2018-10-23,TCP,1,,MEXICO,Mexico,2016-11-03,ME-FUNDEMEX,,ME,2018-10-23,,A,MIF,2016-08-11,Closed,Technical Cooperation,2017-07-11,MIF,,"The general objective of the project is to contribute to sustainable development of communities living in poverty situation, attempting to validate the potential of the Social Enterprise as an efficient and sustainable instrument to reduce the poverty. 
The specific objectives are : 
(i) contribute to the development of managerial capacity of the Social Enterprises through alliance (cooperation, strategy and integrated business) with the Social Enterprises to the organizations of CCE (Business Coordination Council)
(ii) Contribute to the expansion of business plans identifying, facilitating, channeling the access to the financial and non financial resources by the Social Enterprises
(iii) Engage in the establishment of a regulatory framework and in public policies that would promote and strengthen the Social Enterprises
(iv) Creation and dissemination of knowledge generated in the project",Client Support,,,,,,2016-07-11,,false,,,false,,,,,,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
ATN/OC-15411-NI,ATN/OC-15411-NI,2015-12-11,0,33948.34,true,D,208143.66,,2018-12-11,208143.66,INTER-AMERICAN DEVELOPMENT BANK,,TCN,2016-08-17,2016-03-02,USD,ORC,0,a0X2200000157GCEAY,0,,2017-06-11,CID,2015-12-11,CF,ATN/OC-15411-NI,SVC,true,2019-01-23,TCP,1,,NICARAGUA,Nicaragua,2016-03-02,US-IDB,,NI,2019-01-23,,D,CSD,2015-12-11,Closed,Technical Cooperation,2018-12-12,CSD/HUD,,"El objetivo de esta Cooperación Técnica (CT) es identificar y desarrollar instrumentos que promuevan el financiamiento de viviendas de interés social, y permitan la recuperación de plusvalías en proyectos habitacionales para familias de bajos recursos en Nicaragua.",Client Support,,,,,,2016-03-10,,false,,,false,,,,,,No,Yes,,,,,false,"CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_SubOperation_tgr: execution of AfterInsert

caused by: System.DmlException: Insert failed. First exception on row 0; first error: CANNOT_EXECUTE_FLOW_TRIGGER, We can't save this record because the “Update Design Team Leader in Milestone Report” process failed. Give your Salesforce admin these details. This error occurred when the flow tried to update records: CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY: PSR_MilestoneReport_tgr: execution of BeforeUpdate

caused by: System.QueryException: List has no rows for assignment to SObject

Class.PSR_MilestoneReportHandler_cls.sendNotifications: line 55, column 1
Class.PSR_MilestoneReportHandler_cls.beforeUpdate: line 41, column 1
Class.IADB_TriggerHandler.run: line 41, column 1
Trigger.PSR_MilestoneReport_tgr: line 15, column 1. You can look up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016)ok up ExceptionCode values in the SOAP API Developer Guide. Error ID: 795015459-170310 (-771265016): []

Class.IADB_SubOperationHandler_cls.generateMilestoneReports: line 178, column 1
Class.IADB_SubOperationHandler_cls.accomplishPriorConditionMilestone: line 156, column 1
Class.IADB_SubOperationHandler_cls.afterInsert: line 73, column 1
Class.IADB_TriggerHandler.run: line 45, column 1
Trigger.IADB_SubOperation_tgr: line 16, column 1:--"
