Roles,IsActive,StartDate,EndDate,Relationship_Strength__c,FinServ__IncludeInGroup__c,FinServ__PrimaryGroup__c,FinServ__Primary__c,FinServ__Rollups__c,FinServ__SourceSystemId__c,Errors
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-05,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-04-05,2021-04-05,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-04-08,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-05-03,2021-05-03,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-03,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-13,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-05-13,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-06-23,2021-06-23,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-06-23,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-06,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-07-06,2021-07-06,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-06,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-06,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-08,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-07-14,2021-07-14,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-07-14,2021-07-15,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,false,2021-07-14,2021-07-15,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-14,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-15,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
,true,2021-07-15,,,false,false,false,All,,"Required fields are missing: [AccountId, ContactId]"
